Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 911.15 0.528641 33.3104 0.00953365 3.4253 0.0410808 0.403379 0.343328 24.1781 0.107473 0.602223 7.28692 0.207795 0 30.0845
10000.00 910.15 0.527403 33.2174 0.00931923 3.39833 0.0406199 0.404129 0.338409 24.2349 0.107654 0.599082 7.28932 0.20569 0 30.1552
10000.00 909.15 0.526179 33.1252 0.00910955 3.37151 0.0401619 0.404879 0.333537 24.2912 0.107835 0.595961 7.29167 0.20361 0 30.2253
10000.00 908.15 0.524969 33.0337 0.0089045 3.34484 0.0397069 0.405628 0.328715 24.3472 0.108017 0.592859 7.29396 0.201553 0 30.2949
10000.00 907.15 0.523774 32.9429 0.00870398 3.31832 0.0392549 0.406376 0.323941 24.4028 0.108199 0.589776 7.2962 0.199521 0 30.3641
10000.00 906.15 0.522593 32.8528 0.00850788 3.29195 0.038806 0.407123 0.319215 24.4579 0.108381 0.586713 7.29839 0.197512 0 30.4327
10000.00 905.15 0.521425 32.7634 0.00831611 3.26573 0.03836 0.407869 0.314538 24.5127 0.108564 0.583668 7.30053 0.195525 0 30.5009
10000.00 904.15 0.520271 32.6746 0.00812856 3.23965 0.0379171 0.408614 0.309909 24.5671 0.108747 0.580643 7.30262 0.193561 0 30.5685
10000.00 903.15 0.519130 32.5866 0.00794515 3.21372 0.0374772 0.409358 0.305328 24.621 0.10893 0.577637 7.30465 0.191619 0 30.6357
10000.00 902.15 0.518002 32.4992 0.00776577 3.18793 0.0370403 0.410101 0.300794 24.6747 0.109113 0.574649 7.30664 0.189699 0 30.7024
10000.00 901.15 0.516887 32.4125 0.00759034 3.16229 0.0366066 0.410843 0.296309 24.7279 0.109296 0.571681 7.30859 0.1878 0 30.7686
10000.00 900.15 0.515785 32.3264 0.00741877 3.13679 0.0361759 0.411583 0.291871 24.7807 0.10948 0.568731 7.31048 0.185922 0 30.8344
10000.00 899.15 0.514695 32.241 0.00725098 3.11143 0.0357483 0.412322 0.287481 24.8332 0.109664 0.565799 7.31233 0.184065 0 30.8997
10000.00 898.15 0.513617 32.1562 0.00708687 3.08622 0.0353238 0.413059 0.283138 24.8853 0.109847 0.562886 7.31413 0.182229 0 30.9645
10000.00 897.15 0.512551 32.072 0.00692638 3.06114 0.0349024 0.413796 0.278842 24.9371 0.110031 0.559991 7.31589 0.180412 0 31.0289
10000.00 896.15 0.511497 31.9885 0.00676941 3.03621 0.0344841 0.41453 0.274593 24.9885 0.110215 0.557115 7.31761 0.178615 0 31.0929
10000.00 895.15 0.510454 31.9056 0.00661589 3.01142 0.0340689 0.415264 0.27039 25.0395 0.110399 0.554256 7.31929 0.176838 0 31.1564
10000.00 894.15 0.509423 31.8232 0.00646576 2.98677 0.0336568 0.415995 0.266234 25.0902 0.110583 0.551416 7.32092 0.175079 0 31.2194
10000.00 893.15 0.508404 31.7415 0.00631892 2.96226 0.0332478 0.416725 0.262124 25.1405 0.110766 0.548593 7.32251 0.17334 0 31.2821
10000.00 892.15 0.507395 31.6604 0.00617531 2.93789 0.032842 0.417454 0.258061 25.1905 0.11095 0.545789 7.32406 0.171619 0 31.3443
10000.00 891.15 0.506397 31.5798 0.00603486 2.91365 0.0324392 0.41818 0.254043 25.2401 0.111133 0.543002 7.32557 0.169916 0 31.406
10000.00 890.15 0.505410 31.4999 0.0058975 2.88956 0.0320396 0.418905 0.25007 25.2894 0.111317 0.540233 7.32704 0.168232 0 31.4674
10000.00 889.15 0.504433 31.4205 0.00576317 2.86559 0.0316431 0.419628 0.246143 25.3384 0.1115 0.537481 7.32848 0.166565 0 31.5283
10000.00 888.15 0.503467 31.3417 0.00563179 2.84177 0.0312497 0.420349 0.242261 25.387 0.111683 0.534746 7.32988 0.164916 0 31.5888
10000.00 887.15 0.502511 31.2634 0.00550331 2.81808 0.0308595 0.421068 0.238424 25.4353 0.111865 0.532029 7.33124 0.163284 0 31.6489
10000.00 886.15 0.501565 31.1857 0.00537765 2.79453 0.0304723 0.421786 0.234631 25.4833 0.112048 0.529329 7.33256 0.161668 0 31.7086
10000.00 885.15 0.500629 31.1085 0.00525477 2.77112 0.0300883 0.422501 0.230882 25.531 0.11223 0.526646 7.33385 0.16007 0 31.7679
10000.00 884.15 0.499702 31.0319 0.0051346 2.74783 0.0297074 0.423214 0.227178 25.5783 0.112412 0.52398 7.33511 0.158488 0 31.8268
10000.00 883.15 0.498786 30.9558 0.00501708 2.72468 0.0293295 0.423925 0.223517 25.6253 0.112594 0.52133 7.33633 0.156923 0 31.8853
10000.00 882.15 0.497879 30.8803 0.00490215 2.70167 0.0289548 0.424634 0.2199 25.672 0.112775 0.518697 7.33751 0.155373 0 31.9434
