,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
153,yn92,10.0,1423,74.6,0.12,12.75,0.81,0.07,0.56,4.19,4.73,0.0,0.0,96,-9.79,,,,,,,,1149.85
154,yn94,10.0,1423,74.6,0.11,12.89,0.83,0.07,0.53,4.19,4.74,0.0,0.0,80,-9.79,,,,,,,,1149.85
155,MAV34,5.0,1773,47.7,1.77,10.74,12.2,16.87,8.51,1.79,0.34,0.0,0.0,4010,-8.65,,,,,,,,1499.85
156,MAV58A,10.0,2073,47.1,0.9,9.92,15.49,15.18,8.83,1.89,0.37,0.0,0.0,3370,-6.29,,,,,,,,1799.85
157,MAV36,15.0,1773,47.3,1.78,9.48,15.56,15.68,8.45,1.5,0.33,0.0,0.0,3125,-8.34,,,,,,,,1499.85
158,MAV54,5.0,2073,50.2,1.72,17.07,10.71,7.25,9.33,2.64,0.8,0.0,0.0,2955,-6.42,,,,,,,,1799.85
159,MAV42,15.0,1773,48.6,1.64,10.47,11.47,17.01,8.35,1.51,0.34,0.0,0.0,2750,-8.34,,,,,,,,1499.85
160,MAV68,35.0,2073,50.9,1.65,17.23,9.31,7.58,10.15,2.09,0.56,0.0,0.0,1875,-5.63,,,,,,,,1799.85
161,MAV55,40.0,2073,50.6,1.71,17.04,10.88,7.56,9.16,2.92,0.75,0.0,0.0,1855,-5.5,,,,,,,,1799.85
162,MAV32,5.0,1773,50.8,1.81,16.5,8.68,6.84,8.86,2.1,0.68,0.0,0.0,1800,-8.65,,,,,,,,1499.85
163,MAV27,5.0,1673,50.4,1.8,16.92,9.95,7.06,9.66,2.45,0.79,0.0,0.0,1725,-9.56,,,,,,,,1399.85
164,MAV52,40.0,2073,48.9,0.71,10.54,11.57,16.31,9.76,1.71,0.39,0.0,0.0,1650,-5.5,,,,,,,,1799.85
165,MAV65,5.0,1673,52.0,2.13,17.68,8.4,7.3,10.18,1.34,0.97,0.0,0.0,1640,-9.56,,,,,,,,1399.85
