,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
132,,1.7000000000000002,1123.15,69.08,0.38,12.71,1.46,0.47,1.63,3.21,3.66,,6.49,144.18075991106892,,,,,,,,,850.0000000000001
133,,1.7999999999999998,1173.15,69.56,0.57,13.63,1.26,0.32,2.03,3.48,3.3,,7.74,208.26109764932175,,,,,,,,,900.0000000000001
134,,1.7999999999999998,1173.15,70.65,0.57,13.19,1.28,0.28,1.59,3.46,3.66,,7.36,176.22092878019535,,,,,,,,,900.0000000000001
135,,1.8199999999999998,1073.15,72.77,0.2,11.93,0.91,0.68,1.39,3.0,3.74,,5.81,80.10042217281607,,,,,,,,,800.0000000000001
136,,1.82,1073.15,72.86,0.16,11.97,1.0,0.76,1.26,2.98,3.72,,5.28,52.06527441233044,,,,,,,,,800.0000000000001
137,,2.0100000000000002,1123.15,71.96,0.23,12.66,1.13,0.47,1.59,3.31,3.69,,5.37,116.14561215058329,,,,,,,,,850.0000000000001
138,,1.9900000000000002,1173.15,69.4,0.33,13.96,0.92,0.46,1.91,3.51,3.26,,5.27,224.28118208388497,,,,,,,,,900.0000000000001
139,,1.9900000000000002,1173.15,69.68,0.33,13.59,1.02,0.34,1.98,3.51,3.38,,5.53,208.26109764932175,,,,,,,,,900.0000000000001
140,,2.02,1073.15,72.57,,12.54,0.0,,0.95,4.71,4.5,,4.93,220.27616097524415,,,,,,,,,800.0000000000001
141,,2.02,1073.15,74.13,,11.73,0.0,,0.42,4.51,4.44,,6.19,88.11046439009768,,,,,,,,,800.0000000000001
142,,2.0,1073.15,72.0,,12.38,0.0,,1.03,4.72,4.46,,6.11,236.29624540980737,,,,,,,,,800.0000000000001
143,,2.0,1073.15,72.6,,12.36,0.0,,0.43,4.7,4.53,,4.75,96.12050660737928,,,,,,,,,800.0000000000001
144,,1.75,1173.15,72.86,,12.7,0.0,,0.93,4.88,4.61,,5.35,156.19582323699134,,,,,,,,,900.0000000000001
145,,1.75,1173.15,73.33,,12.18,0.0,,0.43,4.75,4.46,,4.83,108.13556993330168,,,,,,,,,900.0000000000001
146,,1.9100000000000001,1173.15,72.72,,12.43,0.0,,1.13,4.66,4.43,,5.65,200.25105543204018,,,,,,,,,900.0000000000001
147,,1.9100000000000001,1173.15,72.06,,12.54,0.0,,0.49,4.78,4.45,,4.67,108.13556993330168,,,,,,,,,900.0000000000001
148,,2.0,1023.15,72.22,,11.95,0.0,,0.14,3.57,3.87,,,62.0,,,,,,,,,750.0
149,,2.0,1023.15,71.85,,11.91,0.0,,0.5,3.62,3.9,,,32.0,,,,,,,,,750.0
150,,2.0,1123.15,71.98,,12.63,0.0,,0.28,4.01,3.99,,,140.0,,,,,,,,,850.0000000000001
151,,2.0,1123.15,73.67,,12.1,0.0,,0.102,3.88,3.78,,,260.0,,,,,,,,,850.0000000000001
152,,2.0,1123.15,71.83,,11.91,0.0,,0.14,4.01,3.9,,,190.0,,,,,,,,,850.0000000000001
153,,2.0,1123.15,72.95,,12.01,0.0,,0.23,3.92,3.87,,,150.0,,,,,,,,,850.0000000000001
154,,2.0,1123.15,71.44,,12.39,0.0,,0.16,4.23,3.99,,,210.0,,,,,,,,,850.0000000000001
155,,2.0,1123.15,73.65,,12.07,0.0,,0.26,3.92,3.79,,,100.0,,,,,,,,,850.0000000000001
156,,2.0,1123.15,72.52,,11.97,0.0,,0.17,3.63,3.9,,,150.0,,,,,,,,,850.0000000000001
157,,2.0,1123.15,72.99,,12.05,0.0,,0.084,3.92,3.83,,,350.00000000000006,,,,,,,,,850.0000000000001
158,,2.0,1123.15,73.15,,11.85,0.0,,0.05,3.43,3.75,,,660.0,,,,,,,,,850.0000000000001
159,,2.0,1123.15,72.98,,12.01,0.0,,0.092,3.78,3.81,,,310.0,,,,,,,,,850.0000000000001
160,,2.0,1123.15,72.23,,12.2,0.0,,0.09,3.66,3.85,,,380.0,,,,,,,,,850.0000000000001
161,,2.0,1123.15,72.94,,12.09,0.0,,0.22,3.98,3.9,,,150.0,,,,,,,,,850.0000000000001
162,,2.0,1123.15,73.1,,12.02,0.0,,0.14,3.93,3.87,,,190.0,,,,,,,,,850.0000000000001
163,,2.0,1123.15,72.35,,11.87,0.0,,0.16,3.5,3.93,,,180.0,,,,,,,,,850.0000000000001
164,,2.0,1123.15,72.55,,12.04,0.0,,0.055,3.27,3.88,,,640.0,,,,,,,,,850.0000000000001
165,,2.0,1123.15,72.99,,12.06,0.0,,0.095,3.74,3.86,,,310.0,,,,,,,,,850.0000000000001
166,,2.0,1123.15,72.92,,12.04,0.0,,0.085,3.58,3.86,,,350.00000000000006,,,,,,,,,850.0000000000001
167,,2.0,1123.15,72.97,,12.15,0.0,,0.067,3.92,3.87,,,450.0,,,,,,,,,850.0000000000001
168,,2.0,1123.15,70.99,,12.19,0.0,,1.19,3.85,3.9,,,130.0,,,,,,,,,850.0000000000001
169,,2.0,1123.15,71.88,,11.93,0.0,,0.24,3.99,3.9,,,130.0,,,,,,,,,850.0000000000001
